PO_NUMBER,INVOICE_ID,INVOICE_NUM,SOURCE,INV_LINE_NUMBER,ACCOUNT_CODE,COMPANY_CODE,MIC,INVOICE_DATE,INVOICE_AMOUNT,TRAN_AMOUNT,EXTC,STATE,VENDOR_NAME,INVOICE_FR,FINAL_DESCRIPTION,PROJ_NUM,TAX_AMOUNT,ACCOUNT_DESCRIPTION,EXTC_DESCRIPTION,TAX_TYPE,ACCOUNTING_DATE
null,348304243,RCA16801 |BR0123|94650837003A4DEE9710C7BC1204D8,CRERENT,1,1290,3551,,2023-01-01,2582.7400000000,2583,4A0,CA,SM 101 SIX LLC,3483042431,bradley santa maria base rent signage rent base rent signage rent ,,null,Prepaid Rent,Land & Buildings-Rental,,2022-12-31
null,348304257,RCA16801 |BR0123|9EA68194F85742BD8AC3CFCE4A0BF3,CRERENT,1,1290,3551,,2023-01-01,17093.0200000000,17093,4A0,CA,SM 101 SIX LLC,3483042571,bradley santa maria base rent base rent base rent base rent ,,null,Prepaid Rent,Land & Buildings-Rental,,2022-12-31
null,348306780,SBOKR7435|OX0123|79410891931C4493BDCCA2B87E847D,CRERENT,1,1290,3160,,2023-01-01,738.8000000000,739,4A0,OK,TRINA & TRISTEN LE CORPORATION,3483067801,sbokr george nigh expressway mcalester operating operating ,,null,Prepaid Rent,Land & Buildings-Rental,,2022-12-31
null,348310345,700252SCN|OX0123|61CDEA3F25C843C58F749F380D3E13,CRERENT,1,1290,2303,,2023-01-05,1067.3300000000,1067,4A0,SC,BURROUGHS & CHAPIN CO INC,3483103451,scncp pine island myrtle beach operating operating ,,null,Prepaid Rent,Land & Buildings-Rental,,2022-12-31
null,348311261,SBTX3053a|BR0123|DF33E55670EA43BC926E2127B8A646,CRERENT,1,1290,3012,,2023-01-01,100.0000000000,100,4A0,TX,IVC GFI LLC,3483112611,sbtx melbourne hurst base rent base rent base rent base rent ,,null,Prepaid Rent,Land & Buildings-Rental,,2022-12-31
null,348315032,SBTXR7520|BR0123|4129B2D6B166465CBB455CF2F8D888,CRERENT,1,1290,3023,,2023-01-05,5381.2500000000,5381,4A0,TX,ECN PROPERTIES NO 8 LTD>9M,3483150321,sbtxr longview base rent base rent base rent base rent ,,null,Prepaid Rent,Land & Buildings-Rental,,2022-12-31
null,348315150,BSLAR7004|OX0123|41EB09B6E136469FB0EF74A6618483,CRERENT,1,1290,2760,,2023-01-05,80.0000000000,80,4A0,LA,REVENUE PROPERTIES SOUTHLAND LP>9M,3483151501,bslar park houma operating trash operating trash ,,null,Prepaid Rent,Land & Buildings-Rental,,2022-12-31
null,348315938,BSGAR3066|OX0123|61183A90B6E7493FBE917B306E041B,CRERENT,1,1290,2401,,2023-01-01,833.3300000000,833,4A0,GA,HIGHWAY 20 SHOPS LLC>9M,3483159381,bsgar buford buford operating operating ,,null,Prepaid Rent,Land & Buildings-Rental,,2022-12-31
null,348316190,700269MNN|BR0123|71BD8EBBD98C4926AF9B1FDE8619CE,CRERENT,1,1290,3514,,2023-01-01,11247.5000000000,11248,4A0,MN,AGREE LIMITED PARTNERSHIP>9M,3483161901,mnncp rock ridge mountain iron base rent base rent base rent base rent ,,null,Prepaid Rent,Land & Buildings-Rental,,2022-12-31
null,348317174,BSLAR7037|OX0123|4A280AB5FC954C1DBB1D2AA4AD557A,CRERENT,1,1290,2756,,2023-01-05,457.5600000000,458,4A0,LA,STIRLING LAFAYETTE LLC>9M,3483171741,bslar louisiana lafayette operating fixed operating fixed ,,null,Prepaid Rent,Land & Buildings-Rental,,2022-12-31
