year_month,count
2023-01,2482683
2023-02,2375397
2023-03,2704364
2023-04,2542070
2023-05,2495444
2023-06,2506742
2023-07,2433185
2023-08,2597328
2023-09,2461570
2023-10,2568662
2023-11,2345606
2023-12,2319346
2024-01,2366243
2024-02,2196792
2024-03,2166233
2024-04,2318871
2024-05,2211182
2024-06,2152895
2024-07,2011285
2024-08,460629
2024-09,431599
2024-10,454428
2024-11,389226
2024-12,411903
2025-01,371851
2025-02,361211
2025-03,392434
2025-04,421346
2025-05,411619
2025-06,420085
2025-07,390324
2025-08,403174
2025-09,411380
2025-10,456414
2025-11,378367
2025-12,414983
2026-01,375222
2026-02,219282
2026-03,254394
2026-04,213111
