acct_month,inv_month,n
2026-06,2026-04,159
2026-06,2026-03,75
2026-06,2026-02,37
2026-06,2026-01,32
2026-06,2025-12,30
2026-06,2025-11,1
2026-06,2025-10,2
2026-06,2025-09,1
2026-06,2025-08,3
2026-06,2025-07,1
2026-06,2025-05,3
2026-06,2025-03,2
2026-06,2025-02,3
2026-06,2025-01,3
2026-05,2026-04,32682
2026-05,2026-03,6863
2026-05,2026-02,959
2026-05,2026-01,538
2026-05,2025-12,340
2026-05,2025-11,275
2026-05,2025-10,145
2026-05,2025-09,111
2026-05,2025-08,95
2026-05,2025-07,61
2026-05,2025-06,30
