PO_NUMBER,INVOICE_ID,INVOICE_NUM,SOURCE,INV_LINE_NUMBER,ACCOUNT_CODE,COMPANY_CODE,MIC,INVOICE_DATE,INVOICE_AMOUNT,TRAN_AMOUNT,EXTC,STATE,VENDOR_NAME,INVOICE_FR,FINAL_DESCRIPTION,PROJ_NUM,TAX_AMOUNT,TAX_TYPE,ACCOUNTING_DATE,NORAD_FLAG,DRIVERID,invoice_month,invoice_year
null,348305130,RFL09101 |TX0123|185BE5D2EEE948A88CBCB10877F02D,CRERENT,1,1290,2551,,2023-01-05,1954.0800000000,1954,4A0,FL,ADAR DORAL LLC,3483051301,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348305892,SBNYR1440|TX0123|057656EB93594F2AB56A33477A9808,CRERENT,1,1290,2152,,2023-01-01,1841.1500000000,1841,4A0,NY,BOULEVARD PLACE ASSOCIATES LLC,3483058921,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348306043,RLA04301 |OX0123|8F3B4F0186794D24B5BAE3B23F4BF4,CRERENT,1,1290,2752,,2023-01-01,80.0000000000,80,4A0,LA,WC MANHATTAN PLACE PROPERTY LLC,3483060431,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348306952,SBHIR9602|OX0123|D624C81CA99B425C95A380E1C7DD92,CRERENT,1,1290,3661,,2023-01-01,54.0000000000,54,4A0,HI,"MILILANI TOWN CENTER, LLC",3483069521,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348308383,BSKYR4022|BR0123|AD9341C4876D45EA84B8064816D988,CRERENT,1,1290,2456,,2023-01-05,13387.5000000000,13388,4A0,KY,BOBWINCHESTER KY LLC,3483083831,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348310075,SBTXR7536|BR0123|84F5353BF3254139AA250677F41CBD,CRERENT,1,1290,3012,,2023-01-01,9690.2000000000,9690,4A0,TX,EDENS LP DBA AMREIT PRESTON ROYAL  LP,3483100751,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348312096,700310CAN|BR0123|93B1E8EAB0E64D6A972173CAFB5D4A,CRERENT,1,1290,3553,,2023-01-01,32442.0400000000,32442,4A0,CA,RTLC PARTNERS,3483120961,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348312441,BSFLR3375|BR0123|957A6A1E0FCA4CBDACFF65FDB1550C,CRERENT,1,1290,2551,,2023-01-01,18451.2900000000,18451,4A0,FL,NCC ROSEBUD TWO LLC,3483124411,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348314761,SBOKR7317|BR0123|C1991907056D496DA14FC1052C5AC2,CRERENT,1,1290,3152,,2023-01-01,8366.0000000000,8366,4A0,OK,MARKET PLAZA OKLAHOMA LLC>9M,3483147611,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348316322,BSKYR4216|TX0123|0D73302C053F40848DAEB473238DB5,CRERENT,1,1290,2452,,2023-01-01,678.2900000000,678,4A0,KY,GREENWOOD PLAZA LLC>9M,3483163221,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348316567,SBTXR7765|OX0123|092A0E02CD394AD58381A7806C1496,CRERENT,1,1290,3063,,2023-01-01,927.4900000000,927,4A0,TX,WALLISVILLE BELTWAY 8 LTD>9M,3483165671,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348323290,SBMNR5510|IN0123|FA47B556516A4F93A4D0F5E16D0BA9,CRERENT,1,1290,3514,,2023-01-01,68.1800000000,68,4A0,MN,DAKA GRAND RAPIDS LLC,3483232901,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348326387,RNJ01601 |OX0123|B4F8820866644D0A86D74083F239F7,CRERENT,1,1290,2192,,2023-01-01,1477.6700000000,1478,4A0,NJ,LINWOOD MALL LLC,3483263871,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348329557,700123MON|IN0123|02987F6EE4EE4A3E970BE3B21F2FCC,CRERENT,1,1290,3252,,2023-01-01,39.8500000000,40,4A0,MO,THF CHESTERFIELD NORTH DEVELOPMENT LLC,3483295571,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348329628,BSALR3527|OX0123|CE3E3B17864C41B4A72EE70AB3C0C4,CRERENT,1,1290,2660,,2023-01-01,456.0100000000,456,4A0,AL,CRISANNA VAGIANOS,3483296281,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348330268,700140CAN|BR0123|5B9436FEBE544389BDEE988E39BFB0,CRERENT,1,1290,3551,,2023-01-01,8414.7000000000,8415,4A0,CA,TKG SMOKE TREE COMMONS LLC,3483302681,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348330701,SBCA5790 |BR0123|20DE9C5DF9524797A75B2DB7FAE6CB,CRERENT,1,1290,3701,,2023-01-01,9745.5000000000,9746,4A0,CA,LFS AMZG LLC,3483307011,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348342474,SBTXR7779|TX0123|A5B3DD4C812747F6A7E3278DF2D29A,CRERENT,1,1290,3063,,2023-01-01,1481.3500000000,1481,4A0,TX,JBL HUMBLEWOOD CENTER LLC,3483424741,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348342904,700146SDN|OX0123|B66E56D8F16B477789426E6EED93A1,CRERENT,1,1290,3520,,2023-01-05,699.0000000000,699,4A0,SD,L&B HOLDINGS LLC,3483429041,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348343272,CWLAR7008|IN0123|20248932164E4B078B5C2D26292FCF,CRERENT,1,1290,2751,,2023-01-01,455.0000000000,455,4A0,LA,ZINNA HOLDINGS LLC,3483432721,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348343742,SBMAR0207|OX0123|77EF8C430AB1480B969411A7A77E28,CRERENT,1,1290,2075,,2023-01-01,25.5200000000,26,4A0,MA,EMERALD SQUARE MALL REALTY HOLDING LLC,3483437421,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348344121,SBMI6542 |BR0123|6C396672AB854F26B389A4745467B6,CRERENT,1,1290,3501,,2023-01-01,12465.2500000000,12465,4A0,MI,BCR PROPERTIES>9M,3483441211,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348344454,BSLAR7038|TX0123|13C133B600454C848023DE45408A49,CRERENT,1,1290,2750,,2023-01-01,1500.0000000000,1500,4A0,LA,J B LEVERT LAND COMPANIES INC>9M,3483444541,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348344999,700365NYN|IN0123|69E01849346E4B64B0820F4246C295,CRERENT,1,1290,2192,,2023-01-01,208.3300000000,208,4A0,NY,PARK EAST LLC>9M,3483449991,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348345563,SBCAR9312|IN0123|07CC6C739E4E4F20AC43B45F94622D,CRERENT,1,1290,3553,,2023-01-01,146.3600000000,146,4A0,CA,CAMINO REAL LLC>9M,3483455631,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348346686,RMD02201 |BR0123|54A0452EC5804CB0853E694BC6CD24,CRERENT,1,1290,2251,,2023-01-01,13895.8300000000,13896,4A0,MD,MAGELLAN FOOD SERVICE INC>9M,3483466861,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348354758,SBTXR7534|TX0123|88BCBC5EA96A4FB39C7E770E27EC1F,CRERENT,1,1290,3012,,2023-01-05,2434.2800000000,2434,4A0,TX,IVT ELDORADO MARKETPLACE FRISCO LLC,3483547581,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348355182,BSALR3528|OX0123|E2287A8BE430450EBCBF85F70CCD20,CRERENT,1,1290,2653,,2023-01-05,892.5000000000,893,4A0,AL,DOCKERY AND DOCKERY LLC,3483551821,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348355472,RIL04801 |OX0123|EE2C65CA6F4C4336B9E8659E6E8DD4,CRERENT,1,1290,3301,,2023-01-01,1129.7900000000,1130,4A0,IL,HEIDNER PROPERTY MANAGEMENT COMPANY INC,3483554721,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348355578,SBWAR9821|OX0123|F3F8BB1AE76640DC9C4C5A26D19D81,CRERENT,1,1290,3801,,2023-01-01,1587.0900000000,1587,4A0,WA,SOUTHCENTER OWNER LLC,3483555781,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348355582,RWA02301b|OX0123|48EF0EEFA4714AD48164C6ED72357F,CRERENT,1,1290,3801,,2023-01-01,409.4300000000,409,4A0,WA,FHR MAIN RETAIL CENTER LLC,3483555821,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348355667,RAZ01901 |TX0123|D1BA17F4064D49CF87C00571A2A548,CRERENT,1,1290,3901,,2023-01-01,323.4300000000,323,4A0,AZ,TUCSON SHOPPING CENTER LLC,3483556671,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348355697,RCA16201 |IN0123|0F66345979254329A4C15B4D1973F2,CRERENT,1,1290,3701,,2023-01-01,112.3300000000,112,4A0,CA,EXCEL MONTE VISTA LP,3483556971,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348355826,700350KYN|BR0123|FB0A828210B94D8C9D56B4D508ED35,CRERENT,1,1290,2454,,2023-01-05,15182.4800000000,15182,4A0,KY,HENCELL LLC,3483558261,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348355881,RCT00901b|OX0123|5EEFF694E84244ACB914ED073B92B5,CRERENT,1,1290,2051,,2023-01-01,1148.2200000000,1148,4A0,CT,YARAGHI REALTY LLC,3483558811,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348356145,SBNJR0732|OX0123|DB03F2A0C6AE48D2A4D1F577F088A8,CRERENT,1,1290,2192,,2023-01-01,567.5000000000,568,4A0,NJ,ONE MAIN STREET EDGEWATER LLC,3483561451,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
null,348356181,SBPAR1813|TX0123|DAD5F024A98D4D5D9F088E7FE79FC3,CRERENT,1,1290,2201,,2023-01-05,420.6500000000,421,4A0,PA,QUAKERTOWN HOLDING CORP,3483561811,Prepaid Rent | Land & Buildings-Rental,,null,,2022-12-31,N,null,2023-01,2023
